LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,FUM1_Num,1,8,31,,0,1,128,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,FUM2_Denom,1,8,32,,0,1,136,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,FUM2_Num,1,8,33,,0,1,144,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Fname,2,62,4,,0,0,349,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Gender,2,13,6,,0,0,431,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,IET1_Denom,1,8,42,,0,1,216,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,IET1_Num,1,8,43,,0,1,224,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,IET2_Denom,1,8,44,,0,1,232,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,IET2_Num,1,8,45,,0,1,240,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Insur_month,2,14,13,,0,0,647,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Insur_type,2,13,14,,0,0,661,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Lang_MQD,2,14,47,,0,0,706,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Language,2,62,8,,0,0,506,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Lname,2,62,3,,0,0,287,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,MemID,2,22,2,,0,0,265,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Plan,2,20,48,,0,0,720,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Population,2,3,49,,0,0,740,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,Race_Ethnic,2,62,7,,0,0,444,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,RateCode,2,22,10,,0,0,589,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,SAA_Denom,1,8,15,,0,1,0,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,SAA_Num,1,8,16,,0,1,8,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,SubID,2,17,1,,0,0,248,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,ZIPCode,2,21,9,,0,0,568,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2023_PLD,,,race_MQD,2,32,46,,0,0,674,5843,V9,9/21/2023,9/21/2023,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES

