LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMB1_Denom,1,8,17,,0,1,16,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMB1_Num,1,8,18,,0,1,24,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMB2_Denom,1,8,19,,0,1,32,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMB2_Num,1,8,20,,0,1,40,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMB_Denom,1,8,21,,0,1,48,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMB_Num,1,8,22,,0,1,56,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMM1_Denom,1,8,23,,0,1,64,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMM1_Num,1,8,24,,0,1,72,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMM2_Denom,1,8,25,,0,1,80,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,AMM2_Num,1,8,26,,0,1,88,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,ContractType,2,22,11,,0,0,611,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,DMH_Denom,1,8,27,,0,1,96,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,DMH_Num,1,8,28,,0,1,104,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
OUT,CCS_COMBINED_HEDIS_2024_PLD,,,DOB,2,20,5,,0,0,411,5846,V9,7/18/2024,7/18/2024,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
