Table Name,Description
CX_EMRGNCY_SRV,
CX_KIES_BENDEX,
CX_KIES_CON_FPL,
CX_KIES_CTB,
CX_KIES_FAC,
CX_KIES_FPL_ADM,
CX_KIES_LOC,
CX_KIES_MIISINF,
CX_KIES_PNY_PRD,
CX_KIES_SDX,
CX_LIV_ARRNG,
CX_LTC_ELIG,
CX_LTC_MISSINFO,
CX_OG_BNPL_IT_X,
CX_OG_CASE_BP_X,
CX_OG_CON_X,
CX_OG_DEDUCTNS,
CX_OG_EMP,
CX_OG_EXPENSES,
CX_OG_FAC_TYPE,
CX_OG_FNIN_EX_X,
CX_OG_IDN_DOC,
CX_OG_ORG_GRP_X,
CX_OG_ORG_X,
CX_OG_ORHLCVG,
CX_OG_PAST_BNFT,
CX_OG_PLN_IT_XM,
CX_OG_REASON_CD,
CX_OG_RESOURCE,
CX_OG_SEVTACT_X,
CX_OG_SRV_REQ_X,
CX_OG_S_CASE_X,
CX_OG_VER_ITM,
CX_OTHR_PRGM,
CX_S_PS_APPL_XM,
S_ADDR_PER,
S_BNFT_PGM_ITEM,
S_BNFT_PLAN_ITM,
S_BU,
S_CASE,
S_CASE_BNFTPLAN,
S_CASE_ORG_GRP,
S_CASE_PER,
S_CASE_POSTN,
S_CASE_SRV_REQ,
S_CASE_X,
S_CASE_XM,
S_CONTACT,
S_CONTACT_NAME,
S_CONTACT_X,
S_CONTACT_XM,
S_CON_ADDR,
S_EVT_ACT,
S_EVT_ACT_X,
S_FN_INCM_EXP,
S_GROUP_CONTACT,
S_LST_OF_VAL,
S_NOTE_ACT,
S_NOTE_CASE,
S_NOTE_SR,
S_ORG_EXT,
S_ORG_GROUP,
S_PARTY_REL,
S_POSTN,
S_PS_APPL,
S_PS_CONTACT,
S_SRV_REQ,
S_SRV_REQ_X,
S_SUSP_ACT,
S_USER,
