Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CINFM ,,Children's INFM ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CMETH ,,Children's METH ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CNSH ,,"Central Nervous System, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CNSL ,,"Central Nervous System, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CNSM ,,"Central Nervous System, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CPULH ,,Children's PULH ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,CPULVH ,,Children's PULVH ,int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,DDL ,,"Developmental Disability, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,DDM ,,"Developmental Disability, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,DIA1H ,,"Diabetes, type 1 high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,DIA1M ,,"Diabetes, type 1 medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,DIA2L ,,"Diabetes, type 2 low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,DIA2M ,,"Diabetes, type 2 medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Exposure ,,Count of months of membership during CY2017. ,int ,,,,,,,,Y,,,2 ,,,,Live Data Transmission,,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
