Table Name,Column,Description,Data Type,Max Length,Ordinal Position
T1147xPage1,AttendingPhys_Phone,The phone number of the attending physician or primary care physician.,varchar,24,12
T1147xPage1,AttendingPhys_FAX,The fax number of the attending physician or primary care physician. ,varchar,24,13
T1147xPage1,ReturnTo_Contact_Name,The service coordinator or contact person.,varchar,128,14
T1147xPage1,ReturnTo_ManagedCarePlanID,ID of the managed care plan.,int,,15
T1147xPage1,ReturnTo_IsContactViaFAX,Flag to indicate whether the form should be returned via fax. ,bit,,16
T1147xPage1,ReturnTo_Contact_Phone,The phone number of the service coordinator or contact person. ,varchar,24,17
T1147xPage1,ReturnTo_Contact_FAX,The fax number of the service coordinator or contact person.,varchar,24,18
T1147xPage1,ReturnTo_Contact_EMAIL,The email address of the service coordinator or contact person.,varchar,255,19
T1147xPage1,ReferralInfo_IsSourceClient,Indicates if the referral source is the client. ,bit,,20
T1147xPage1,ReferralInfo_IsSourceRecords,Indicates if the referral source is per records. ,bit,,21
T1147xPage1,ReferralInfo_IsSourceOther,If the referral source was someone other than or in addition to the Client and/or Records. ,bit,,22
T1147xPage1,ReferralInfo_OtherInfoSourceDesc,"If the referral source was Other, a description is provided. ",varchar,255,23
T1147xPage1,ReferralInfo_RespPers_Name,The name of the listed responsible person. ,varchar,128,24
T1147xPage1,ReferralInfo_RespPers_Relationship,Relationship of the responsible person to the member. ,varchar,255,25
T1147xPage1,ReferralInfo_RespPers_Phone,The phone number of the listed responsible person. ,varchar,24,26
T1147xPage1,ReferralInfo_RespPers_FAX,The fax number of the listed responsible person. ,varchar,24,27
T1147xPage1,ReferralInfo_IsLanguage_English,If English is selected for the language. ,bit,,28
T1147xPage1,ReferralInfo_OtherLanguageDesc,If a language other than English was provided. ,varchar,255,29
T1147xPage1,Assessment_Date,Assessement Data,datetime,,30
T1147xPage1,Assessment_Assessor_Name,The full name of the person who completed the assessment. ,varchar,128,31
T1147xPage1,Assessment_Assessor_Title,The title of the person who completed the assessment.,varchar,255,32
T1147xPage1,Assessment_Assessor_UserID,Assessment Assessor User ID,int,,33
T1147xPage1,Assessment_Assessor_Phone,The phone number of the person who completed the assessment. ,varchar,24,34
T1147xPage1,Assessment_Assessor_FAX,The fax number of the person who completed the assessment.,varchar,24,35
T1147xPage1,Assessment_Assessor_EMAIL,The email address of the person who completed the assessment. ,varchar,255,36
T1147xPage1,Assessment_Assessor_IsSignatureOnFile,Indicates whether the person who completed the assessment has a signature on file. ,bit,,37
T1147xPage1,RequestingLOC_LevelOfCareID,Level of care requested.,int,,38
T1147xPage1,RequestingLOC_DateStart,Level of care requested start date.,datetime,,39
T1147xPage1,RequestingLOC_DateEnd,Level of care requested end date. ,datetime,,40
T1147xPage1,MedNecessity_LevelOfCareID,Level of care approved. ,int,,41
T1147xPage1,MedNecessity_DateStart,Level of care approval start date.,datetime,,42
T1147xPage1,MedNecessity_DateEnd,Level of care approval end date.,datetime,,43
T1147xPage1,Comments,Free form comment field.,varchar,2048,44
T1147xPage1,IsDeferred_New1147XNeeded,Deffered New 1147x needed indicator. ,bit,,45
T1147xPage1,IsDeferred_MissingInfo,Deffered Missing info indicator.,bit,,46
T1147xPage1,IsDenied_DoesNotMeetLOC,Denied Does not meet LOC indicator. ,bit,,47
T1147xPage1,IsDenied_IncompleteInfo,Denied Incomplete Info Indicator,bit,,48
T1147xPage1,DHSReview_UserID,DHS Review User ID,int,,49
T1147xPage1,DHSReview_Date,DHS Review Date,datetime,,50
T1147xPage1,IsHealthcareEligible,Health care Indicator.,bit,,51
T1147xPage1,IsRushPriority,Indicates request is a rush. ,bit,,52
T1147xPage1,RushReason_IsPlacementNeeded,Reason for rush - urgent placement is needed. ,bit,,53
T1147xPage1,RushReason_IsPlacementAvailable,Reason for rush - immediate placement is available.,bit,,54
T1147xPage1,PhysicianDeterminationComplete,Physician attestation they have reviewed the form and made their determination.,bit,,55
T1147xPage1,IsEligibleDOB,Indicates assessor has validated the member’s DOB. ,bit,,56
T1147xPage1,IsEligibleMedicaidID,Indicates assessor has validated the member is eligible for Medicaid. ,bit,,57
T1147xPage1,ReviewerName,"Free text field. Generally, the name or initials of a managed care plan review nurse or HSAG review nurse.",varchar,512,58
