Table Name,Column,Description,Data Type,Max Length,Ordinal Position
T1147xPageExtra,ReasonLOCReEval_AtHomeAndWaitlistedForLTC_NF,Indicates reason for level of care re-evaluation is due to member waitlisted for long term care services for nursing facility. ,bit,,5
T1147xPageExtra,ReasonLOCReEval_AtHomeAndWaitlistedForLTC_HCBS,Indicates reason for level of care re-evaluation is due to member waitlisted for long term care services for home and community-based services. ,bit,,6
T1147xPageExtra,ReasonLOCReEval_NoLongerMeetingLOC,Indicates reason for level of care re-evaluation is due to member no longer meeting approved level of care. ,bit,,7
T1147xPageExtra,ReasonLOCReEval_NoLongerMeetingLOC_Date,Date level of care re-evaluation.  ,datetime,,8
T1147xPageExtra,ApprovedLOC_LevelOfCareID,ID of approved level of care of most recent form. ,int,,9
T1147xPageExtra,ApprovedLOC_DateStart,Level of care approval start date of most recent form. ,datetime,,10
T1147xPageExtra,ApprovedLOC_DateEnd,Level of care approval end date of most recent form. ,datetime,,11
T1147xPageExtra,CurStatus_IsFunctCapabilities,Indicates the assessor has assessed functionality capabilities.  ,bit,,12
T1147xPageExtra,CurStatus_IsNoChangeFunctCapabilities,Indicates the assessor has noted there is no change in functional capabilities.,bit,,13
T1147xPageExtra,CurStatus_IsChangesFunctCapabilities,Indicates the assessor has noted there is a change in functional capabilities. ,bit,,14
T1147xPageExtra,CurStatus_ChangesFunctCapabilities_Desc,Description regarding functionality capabilities.  ,varchar,255,15
T1147xPageExtra,CurStatus_IsNursingNeeds,Indicates the assessor has assessed nursing needs.  ,bit,,16
T1147xPageExtra,CurStatus_IsNoChangeNursingNeeds,Indicates the assessor has noted there is no change in nursing needs. ,bit,,17
T1147xPageExtra,CurStatus_IsChangesNursingNeeds,Indicates the assessor has noted there is a change in nursing needs. ,bit,,18
T1147xPageExtra,CurStatus_ChangesNursingNeeds_Desc,Description regarding nursing needs.  ,varchar,255,19
T1147xPageExtra,CurStatus_DocumentNeededAtRequestedLOC,Explanation regarding needs for requested level of care.  ,varchar,2048,20
T1147xPageExtra,Activity_IsFeeding,Indicates daily living activity for feeding. ,bit,,21
T1147xPageExtra,Activity_IsTransferring,Indicates daily living activity for transferring. ,bit,,22
T1147xPageExtra,Activity_IsMobility,Indicates daily living activity for mobility. ,bit,,23
T1147xPageExtra,Activity_IsToileting,Indicates daily living activity for toileting. ,bit,,24
T1147xPageExtra,Activity_IsBathing,Indicates daily living activity for bathing. ,bit,,25
T1147xPageExtra,Activity_IsGrooming,Indicates daily living activity for grooming. ,bit,,26
T1147xPageExtra,NI_IsVentilatorContinuous,Nursing Intervention –continuous ventilator. ,bit,,27
T1147xPageExtra,NI_IsVentilatorIntermittent,Nursing Intervention –intermittent ventilator. ,bit,,28
T1147xPageExtra,NI_HoursOnVentilator,Nursing Intervention – time on ventilator.  ,varchar,255,29
T1147xPageExtra,NI_IsTracheostomy,Nursing Intervention –Tracheostomy. ,bit,,30
T1147xPageExtra,NI_IsOxyTherapyContinuous,Nursing Intervention –continuous oxygen therapy. ,bit,,31
T1147xPageExtra,NI_IsOxyTherapyIntermittent,Nursing Intervention –intermittent oxygen therapy. ,bit,,32
T1147xPageExtra,NI_IsNebulizedMedsAtOrBelowTID,Nursing Intervention –nebulized medications TID or less. ,bit,,33
T1147xPageExtra,NI_IsNebulizedMedsAboveTID,Nursing Intervention –nebulized medications > TID. ,bit,,34
T1147xPageExtra,NI_IsVascularAccessCatheter,Nursing Intervention – vascular access catheter. ,bit,,35
T1147xPageExtra,NI_IsParenteralNutContinuous,Nursing Intervention –continuous parenternal nutrition. ,bit,,36
T1147xPageExtra,NI_IsParenteralNutIntermittent,Nursing Intervention –intermittent parenternal nutrition. ,bit,,37
T1147xPageExtra,NI_IsGastroJejuNasoTubeGravity,Nursing Intervention – Gastrostomy/jejunostomy/nasogastric tube – gravity feedings.,bit,,38
T1147xPageExtra,NI_IsGastroJejuNasoTubePump,Nursing Intervention – Gastrostomy/jejunostomy/nasogastric tube – pump feedings.,bit,,39
T1147xPageExtra,NI_IsIleostomyColostomy,Nursing Intervention – Ileostomy colostomy. ,bit,,40
T1147xPageExtra,NI_IsUrinaryBladderCathIntermittent,Nursing Intervention –intermittent or continuous urinary bladder catheterization.,bit,,41
T1147xPageExtra,NI_IsUrinaryBladderCathContinuous,Nursing Intervention –intermittent or continuous urinary bladder catheterization.,bit,,42
T1147xPageExtra,NI_IsOrthopedicApplianceSplintCast,Nursing Intervention –splint/case orthopedic appliance. ,bit,,43
T1147xPageExtra,NI_IsOrthopedicApplianceComplex,Nursing Intervention –complex orthopedic appliance. ,bit,,44
T1147xPageExtra,NI_OrthopedicApplianceComplex_Desc,Description for orthopedic appliance.  ,varchar,255,45
T1147xPageExtra,NI_IsIsolationReverseIsolation,Nursing Intervention –Isolation/Reverse Isolation. ,bit,,46
T1147xPageExtra,NI_IsEnteralMeds8DosesOrLessPerDay,Nursing Intervention –enteral medications – 8 doses/day or less. ,bit,,47
T1147xPageExtra,NI_IsEnteralMedsMoreThan8DosesPerDay,Nursing Intervention –enteral medications – > 8 doses/day. ,bit,,48
T1147xPageExtra,NI_IsIMSQMeds4DosesOrLessPerDay,Nursing Intervention –IM/SQ medications – 4 doses/day or less. ,bit,,49
T1147xPageExtra,NI_IsIMSQMedsMoreThan4DosesPerDay,Nursing Intervention –IM/SQ medications – > 4 doses/day. ,bit,,50
T1147xPageExtra,NI_IsIVMeds4DosesOrLessPerDay,Nursing Intervention –IV medications – 4 doses/day or less. ,bit,,51
T1147xPageExtra,NI_IsIVMedsMoreThan4DosesPerDay,Nursing Intervention –IV medications – > 4 doses/day. ,bit,,52
T1147xPageExtra,NI_IsOralMeds12DosesOrLessPerDay,Nursing Intervention –oral medications – 12 doses/day or less. ,bit,,53
T1147xPageExtra,NI_IsOralMedsMoreThan12DosesPerDay,Nursing Intervention – oral medications – > 12 doses/day. ,bit,,54
T1147xPageExtra,NI_IsMonitorApneaPulseOxiCR,"Nursing Intervention – Monitor apnea, pulse, oximeter,C-R. ",bit,,55
T1147xPageExtra,NI_IsSpecialSkinCareLocalized,Nursing Intervention – localized special skin care. ,bit,,56
T1147xPageExtra,NI_IsSpecialSkinCareExtensive,Nursing Intervention – extensive special skin care. ,bit,,57
T1147xPageExtra,NI_SpecialSkinCareExtensive_Desc,Description of special skin care needs.  ,varchar,255,58
T1147xPageExtra,NI_IsWoundCare,Nursing Intervention – wound care. ,bit,,59
T1147xPageExtra,NI_WoundCare_Desc,Description of wound care needs.  ,varchar,255,60
T1147xPageExtra,NI_IsRestorativeTherapyPTOTSpeech,"Nursing Intervention – restorative therapy (PT, OT, Speech – include treatment plan). ",bit,,61
T1147xPageExtra,NI_IsInitialDischargeFromHosp,Nursing Intervention – initial discharge from hospital. ,bit,,62
T1147xPageExtra,NI_IsReadmitForExistOrNewDiagnosis,Nursing Intervention –Readmission for exacerbation of existing medical condition or new diagnosis. ,bit,,63
T1147xPageExtra,NI_IsAcuteIllnessReqPhysicianOrER,Nursing Intervention – acute episodic illness requiring physician or emergency room visits. ,bit,,64
T1147xPageExtra,NI_IsOtherSpecializedNurseIntervention,Nursing Intervention – other specialized nurse intervention. ,bit,,65
T1147xPageExtra,NI_OtherSpecializedNurseIntervention_Desc,Description of other specialized nurse intervention needs. ,varchar,255,66
T1147xPageExtra,NI_IsComatose,Nursing Intervention – member is comatose. ,bit,,67
User,UserID,User Identifier,int,,1
User,UserName,Username of user. ,varchar,255,2
User,FirstName,First name of user.,varchar,50,3
User,LastName,Last name of user.,varchar,50,4
User,MI,Middle initial of user.,varchar,1,5
User,PhoneNumber,Phone number of user. ,varchar,24,6
User,FAX,Fax number of user.,varchar,24,7
User,EmailAddress,Email address of user. ,varchar,255,8
User,Comment,Not used last refernece point was 2017,varchar,255,9
User,FaciltyID,"Id of facility, if user is assigned to a facility.",int,,10
User,ManagedCarePlanID,"Id of managed care plan, if user is assigned to a managed care plan. ",int,,11
User,IsEnabled,Flag to indicate whether the user is enabled/active. ,bit,,12
User,IsApproved,Flag to indicate whether the user was approved. ,bit,,13
User,HxMCPID,"No longer used, may be present on older forms.",int,,14
User,AgreementViewedDate,Date user viewed HILOC terms and usage agreement. ,datetime,,15
User,_FullName,"Formatted full name of the user showing last name, first name.",varchar,104,16
User,ApprovedDate,Date user was approved access to HILOC. ,datetime,,17
User,DeniedDate,Date user was denied access to HILOC.,datetime,,18
User_Role,UserID,User Identifier,int,,1
User_Role,RoleID,Id of assigned role. ,int,,2
MQDRecord,T1147xID,Primary key – GUID of form,uniqueidentifier,,1
MQDRecord,RecipientID,Not defined as a foreign key but is the ID of the member from the Recipient table,uniqueidentifier,,2
MQDRecord,RecipientName,"Formatted full name of the member including last name, first name and middle initial",varchar,255,3
MQDRecord,DOB,The date of birth of the member,datetime,,4
MQDRecord,CLIENT-ID,Medicaid Recipient ID. May include an extra leading zero.,varchar,48,5
MQDRecord,LOC-BEG-DAT,Level of care start date.,datetime,,6
MQDRecord,LOC-END-DAT,Level of care end date.,datetime,,7
MQDRecord,LevelOfCareID,Level of Care code,varchar,2,8
MQDRecord,TotalPoints,The total sum of all functional assessment areas including the At Risk score.,varchar,2,9
MQDRecord,bSendToMQDFlag,,bit,,10

