Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Logic,Column Order,Lineage,GAP,Findings 
MCO Reporting,Prior Authorization - Medical (PAM) ,Section III: Prior Authorizations Procedures ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,Quality Assurance and Performance Improvement (QAPI) ,Section III: QAPI Qualitative Narrative ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section III: Summary Narrative of Fraud and Abuse Activities (PLDF + ALDF) ,Date of Training ,, ,DATE ,MM/DD/YYYY ,,,,,,,,,10 ,,,Mandatory  ,MM/DD/YYYY ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section III: Summary Narrative of Fraud and Abuse Activities (PLDF + ALDF) ,Name(s) of SIU staff who attended training ,,"The first and last name(s) of the SIU staff who attended the training, even if the staff member is no longer part of the SIU team ",CHAR ,,,,,,,,,,500 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section III: Summary Narrative of Fraud and Abuse Activities (PLDF + ALDF) ,Name(s) of organization or staff who hosted training ,, ,CHAR ,,,,,,,,,,500 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section III: Summary Narrative of Fraud and Abuse Activities (PLDF + ALDF) ,Topic(s) of training ,, ,CHAR ,,,,,,,,,,500 ,,,Mandatory , ,,,,,
MCO Reporting,Quality Assurance and Performance Improvement (QAPI) ,Section IV: Provider/Enrollee Satisfaction Survey  ,,,,,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,Reporting Period ,,,CHAR ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,VOS Category of Service ,,,CHAR ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,Number of Members who Received Category of Service during Reporting Period ,,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,Number of Members mailed VOS during the Reporting Period ,,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,Number of Members who responded to VOS ,,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,Number of VOS responses that resulted in SIU Case or Referral to the State ,,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section IV: Verification of Services (ALDF) ,Percent of all Members who received VOS ,,, ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section V: Electronic Visit Verification (ALDF) ,Reporting Period ,,,CHAR ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section V: Electronic Visit Verification (ALDF) ,"""Number of EVV visits that were manually edited to pass Sandata EVV validation (by Qtr. DoS)"" ",,,CHAR ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section V: Electronic Visit Verification (ALDF) ,"""Number of manually edited EVV visits the health plan reviewed (by Qtr. DoS)"" ",,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section V: Electronic Visit Verification (ALDF) ,"""Number of EVV visits identified as potential Fraud or Abuse prior to opening an SIU Case (by Qtr. DoS)"" ",,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ",Section V: Electronic Visit Verification (ALDF) ,"""Number of SIU Cases opened resulting from EVV visit review   (by Qtr. DoS)"" ",,,INT ,,,,,,,,,,,,,,,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Date of complaint ,,,DATE ,MM/DD/YYYY ,,,,,,,,,10 ,,,Mandatory   ,MM/DD/YYYY ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Source of complaint ,, ,CHAR ,,,,,,,,,,50 ,,,Mandatory ,"Member 
Provider 
Health Plan Staff ",,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Source of complaint explanation (if other) ,, ,CHAR ,,,,,,,,,,50 ,,,Mandatory if Source of Complaint equals Other , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Date Referral sent to the State ,, ,DATE ,MM/DD/YYYY ,,,,,,,,,10 ,,,Mandatory ,MM/DD/YYYY ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Type ,, ,CHAR ,,,,,,,,,,50 ,,,Mandatory ,"Fraud 
Overbilling 
Upcoding 
Unbundling 
Billing for services furnished by others 
Other ",,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Type explanation (if other) ,, ,CHAR ,,,,,,,,,,50 ,,,Mandatory if Type equals Other , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Dollar Amount paid to the provider for QUEST members over the last 3 calendar years ,,"The total amount of money the Health Plan has paid the provider for claims for QUEST members over the last three calendar years; if none, enter $0 ",NUM ,,,,,,,,,,20 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Dollar Amount paid to the provider for QUEST members during the period of alledged misconduct ,,"The total amount of money the Health Plan has paid the provider for claims for QUEST members during the time period of alleged misconduct; if none, enter $0 ",NUM ,,,,,,,,,,20 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Overpayments Identified associated with case ,,"The total amount of money associated with Overpayments identified for this provider associated with the case; if none, enter $0 ",NUM ,,,,,,,,,,20 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Brief summary of the nature of the incident ,, ,CHAR ,,,,,,,,,,500 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Brief synopsis of the preliminary investigation undertaken ,,"If no preliminary investigation undertaken, enter ""N/A"" ",CHAR ,,,,,,,,,,500 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Administrative disposition of the case ,, ,CHAR ,,,,,,,,,,100 ,,,Mandatory ,"Ongoing investigation 
Closed on direction of the State 
Other (specify) ",,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ",Brief summary of action(s) taken following the referral to include disciplinary action imposed ,,"If no action taken following the referral to State, enter ""N/A"" ",CHAR ,,,,,,,,,,500 ,,,Mandatory , ,,,,,
MCO Reporting,"Fraud, Waste, and Abuse (FAS) ","Section VI: Specific Information on Fraud, Waste and Abuse Referrals (ALDF) ","Number of business days between Date of Complaint to Date of Referral  
(Note: column will calculate automatically) ",,Autocalculated ,NUM ,,,,,,,,,,3 ,,,Autocalculated ,Autocalculated ,,,,,
