T-MSIS V4.0.0 - Record Layout,,,,,,,,,,,
"Changes from v4.x.x Update to v4.0.0
","New Row Number
   ","File Segment Number
   ","File Segment Name
   ","System Data Element Number
   ","Data Element Number
   ","Data Element Name Computing
   ","Pipe Separated Value Segment Data Element Order
   ","Size
   ","Fixed Length Field Start Position
   ","Fixed Length Field Stop Position
   ","Notes - Changes from v4.x.x Update to v4.0.0
 "
NONE,44,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.085,CIP085,PROCEDURE-CODE-DATE-4,28,9(8),255,262,
NONE,45,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.086,CIP086,PROCEDURE-CODE-5,29,X(8),263,270,
NONE,46,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.088,CIP088,PROCEDURE-CODE-FLAG-5,30,X(2),271,272,
NONE,47,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.089,CIP089,PROCEDURE-CODE-DATE-5,31,9(8),273,280,
NONE,48,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.090,CIP090,PROCEDURE-CODE-6,32,X(8),281,288,
NONE,49,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.092,CIP092,PROCEDURE-CODE-FLAG-6,33,X(2),289,290,
NONE,50,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.093,CIP093,PROCEDURE-CODE-DATE-6,34,9(8),291,298,
NONE,51,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.094,CIP094,ADMISSION-DATE,35,9(8),299,306,
NONE,52,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.095,CIP095,ADMISSION-HOUR,36,X(2),307,308,
NONE,53,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.096,CIP096,DISCHARGE-DATE,37,9(8),309,316,
NONE,54,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.097,CIP097,DISCHARGE-HOUR,38,X(2),317,318,
NONE,55,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.098,CIP098,ADJUDICATION-DATE,39,9(8),319,326,
NONE,56,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.099,CIP099,MEDICAID-PAID-DATE,40,9(8),327,334,
NONE,57,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.100,CIP100,TYPE-OF-CLAIM,41,X(1),335,335,
NONE,58,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.101,CIP101,TYPE-OF-BILL,42,X(4),336,339,
NONE,59,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.102,CIP102,CLAIM-STATUS,43,X(3),340,342,
NONE,60,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.103,CIP103,CLAIM-STATUS-CATEGORY,44,X(3),343,345,
NONE,61,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.104,CIP104,SOURCE-LOCATION,45,X(2),346,347,
NONE,62,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.105,CIP105,CHECK-NUM,46,X(15),348,362,
NONE,63,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.106,CIP106,CHECK-EFF-DATE,47,9(8),363,370,
NONE,64,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.108,CIP108,CLAIM-PYMT-REM-CODE-1,48,X(5),371,375,
NONE,65,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.109,CIP109,CLAIM-PYMT-REM-CODE-2,49,X(5),376,380,
NONE,66,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.110,CIP110,CLAIM-PYMT-REM-CODE-3,50,X(5),381,385,
NONE,67,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.111,CIP111,CLAIM-PYMT-REM-CODE-4,51,X(5),386,390,
NONE,68,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.112,CIP112,TOT-BILLED-AMT,52,S9(11)V99,391,403,
NONE,69,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.113,CIP113,TOT-ALLOWED-AMT,53,S9(11)V99,404,416,
NONE,70,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.114,CIP114,TOT-MEDICAID-PAID-AMT,54,S9(11)V99,417,429,
NONE,71,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.116,CIP116,TOT-MEDICARE-DEDUCTIBLE-AMT,55,S9(11)V99,430,442,
NONE,72,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.117,CIP117,TOT-MEDICARE-COINS-AMT,56,S9(11)V99,443,455,
NONE,73,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.118,CIP118,TOT-TPL-AMT,57,S9(11)V99,456,468,
NONE,74,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.119,CIP119,TOT-OTHER-INSURANCE-AMT,58,S9(11)V99,469,481,
NONE,75,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.121,CIP121,OTHER-INSURANCE-IND,59,X(1),482,482,
NONE,76,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.122,CIP122,OTHER-TPL-COLLECTION,60,X(3),483,485,
NONE,77,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.125,CIP125,FIXED-PAYMENT-IND,61,X(1),486,486,
NONE,78,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.126,CIP126,FUNDING-CODE,62,X(2),487,488,
NONE,79,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.127,CIP127,FUNDING-SOURCE-NONFEDERAL-SHARE,63,X(2),489,490,
NONE,80,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.128,CIP128,MEDICARE-COMB-DED-IND,64,X(1),491,491,
NONE,81,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.129,CIP129,PROGRAM-TYPE,65,X(2),492,493,
NONE,82,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.130,CIP130,PLAN-ID-NUMBER,66,X(12),494,505,
NONE,83,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.132,CIP132,PAYMENT-LEVEL-IND,67,X(1),506,506,
NONE,84,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.133,CIP133,MEDICARE-REIM-TYPE,68,X(2),507,508,
NONE,85,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.134,CIP134,NON-COV-DAYS,69,S9(5),509,513,
NONE,86,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.135,CIP135,NON-COV-CHARGES,70,S9(11)V99,514,526,
NONE,87,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.136,CIP136,MEDICAID-COV-INPATIENT-DAYS,71,S9(7),527,533,
NONE,88,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.137,CIP137,CLAIM-LINE-COUNT,72,9(4),534,537,
NONE,89,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.138,CIP138,FORCED-CLAIM-IND,73,X(1),538,538,
NONE,90,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.139,CIP139,HEALTH-CARE-ACQUIRED-CONDITION-IND,74,X(1),539,539,
NONE,91,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.140,CIP140,OCCURRENCE-CODE-01,75,X(2),540,541,
NONE,92,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.141,CIP141,OCCURRENCE-CODE-02,76,X(2),542,543,
NONE,93,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.142,CIP142,OCCURRENCE-CODE-03,77,X(2),544,545,
NONE,94,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.143,CIP143,OCCURRENCE-CODE-04,78,X(2),546,547,
NONE,95,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.144,CIP144,OCCURRENCE-CODE-05,79,X(2),548,549,
NONE,96,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.145,CIP145,OCCURRENCE-CODE-06,80,X(2),550,551,
NONE,97,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.146,CIP146,OCCURRENCE-CODE-07,81,X(2),552,553,
NONE,98,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.147,CIP147,OCCURRENCE-CODE-08,82,X(2),554,555,
NONE,99,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.148,CIP148,OCCURRENCE-CODE-09,83,X(2),556,557,
NONE,100,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.149,CIP149,OCCURRENCE-CODE-10,84,X(2),558,559,
NONE,101,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.150,CIP150,OCCURRENCE-CODE-EFF-DATE-01,85,9(8),560,567,
NONE,102,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.151,CIP151,OCCURRENCE-CODE-EFF-DATE-02,86,9(8),568,575,
