Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,GAP,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping ,for RT
HPMMIS,Recipient,T_RP_MDC_CVG,MBI_SRC,,Source of MBI data,CHAR,,Y,,,,,,,2,,,,"RF522
AC - COUNTY REFERRAL
AE - ADMINISTRATIVE ERROR
AK - ACE KIDSCARE/HIFA
AZ - AZTECS
BA - BATCH PROCESSING
BD - BENDEX TAPE
CH - CAPITATION HISTORY (CONVERSION)
CO - COUNTY
CV - CONVERSION ONLY
CY - CHILDS/ACYF
EQ - ENROLLMENT QUESTIONNAIRE
ET - ELIGIBILITY TRANSACTION DOCUMENT
FM - FOSTER/MEDICS IMPLEMENTATION
HA - HAWI
HI - HIB TAPE
KC - KIDS CARE
LC - LEDS/CATS
MC - MEDICARE (CONVERSION)
MD - OFFICE OF MEDICAL DIRECTOR
MM - MEMBER MASTER (CONVERSION)
MS - CMS - CENTER FOR MEDICARE/MEDICAID SVCS
NU - NUMIDENT
OA - ON-LINE ADD
ON - ON-LINE, NEWBORN
SG - SYSTEM GENERATED
SI - SMIB TAPE
SX - SDX FILE
VS - VITAL STATISTICS TAPE (DATE OF DEATH)",,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_CHIP_CARTS_REDETEMINATION,MBR_COUNT,,Member Count,NUMERIC,####,,,,,,,,22,,0,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_RP_ENROLLED_MEMMONTHS,MBR_MNTHS,,Membership Months,NUMERIC,##.#####,,,,,,,,6,,5,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_AFL_MQD_SPEC,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_CAP_RT_AMT,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_CAP_RT_CD,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_CAP_VOU,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_CTRT_ID,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_CTY_SER,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission ,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
HPMMIS,Recipient,T_HP_DEM_ID,md5_hash,,"The MD5 hash is built off all columns and is to be used with available primary and/or business keys included in the respective file. Is included to simplify any delta loading processes during file imports. row-by-row validation check using the hash bytes MD5 function to compare every character between the source and target tables. The primary objective, apart from confirming matching data, was to identify special characters that would cause issues with data loads.",VARCHAR,,,,,,,,,32,,,,Live Data Transmission,,,"AHCCCS Recipient Data Dictionary Draft v01.07.22_UH 2022-04-28 (1).xlsx ,  HAP_UH - WIP Unified ICD v20230315.docx (sharepoint.com)",,,,
