Source,Source File             (Filter TMSIS v3.0 for most recent version),Table Name,Column Name,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,History,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment (CMS-TMSIS Requirements),Logic ,Valid Values,Column Order,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping ,Necessity,Digital File Code,File Segment,DE Number,Version ,Version Notes,Validation between mapping and TMSIS data guide,Validation II,Data Source Type,State Data Source Name,State Data Element Mapping,Logic from Mapping document,checker 1
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,FILE-STATUS-INDICATOR,File Status Indicator,A code to indicate whether the records in the file are test or production records.,Char,,,,,,,,,66,66,X(1),,,"1. For production files, value must be equal to 'P'
2. Value must be in File Status Indicator List (VVL)
3. Value must be 1 character
4. Mandatory","""T"" = Test
""P"" = Production
","P, T",,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP011,V3,No Change,CIP011,TRUE,Other System,0,N/A,"""T"" = Test
""P"" = Production
",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,SSN-INDICATOR,SSN Indicator,"Indicates whether the state uses the eligible person's social security number instead of an MSIS Identification Number as the unique, unchanging eligible person identifier. A state's SSN/Non-SSN designation on the eligibility file should match on the claims and third party liability 
files.",Num,,,,,,,Y,,67,67,X(1),,,"1. Value must be in SSN Indicator List (VVL)
2. Value must be 1 character
3. Mandatory","""0"" = State does not use SSN as MSIS-IDENTIFICATION-NUMBER
","0, 1",,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP012,V3,No Change,CIP012,TRUE,Other System,0,N/A,"""0"" = State does not use SSN as MSIS-IDENTIFICATION-NUMBER
",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,TOT-REC-CNT,Total Record Count,A count of all records in the file except for the file header record. This count will be used as a control total to help assure that the file did not become corrupted during transmission.,Num,##.###########,,,,,,,,68,78,9(11),,11,"1. Value must be a positive integer
2. Value must be between 0:99999999999 (inclusive)
3. Value must be 11 digits or less
4. Value must equal the number of records included in the file submission except for the file header record.
5. Mandatory","The aggregate record count of all CIP00002 and CIP0003 records.
",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Mandatory,CI,Claim Impatient,CIP013,V3,No Change,CIP013,TRUE,Other System,0,N/A,"The agrregate record count of all CIP00002 and CIP0003 records.
",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,STATE-NOTATION,State Notation,A free text field for the submitting state to enter whatever information it chooses.,Varchar,,,,,,,Y,,83,582,X(500),,,"1. Value must be 500 characters or less
2. Value must not contain a pipe or asterisk symbols
3. Optional","A free text field for the submitting state to enter whatever information it chooses.

$SPACE FILL (default)

Note: $SPACE the STATE-NOTATION field when not using the field to record specific comments, and right-pad the field with spaces when the field does contain verbiage.
Can use any characters except the pipe character '|'",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,Optional,CI,Claim Impatient,CIP014,V3,No Change,CIP014,TRUE,Other System,0,N/A,"A free text field for the submitting state to enter whatever information it chooses.

$SPACE FILL (default)

Note: $SPACE the STATE-NOTATION field when not using the field to record specific comments, and right-pad the field with spaces when the field does contain verbiage.
Can use any characters except the pipe character '|'",FALSE
HPMMIS,TMSIS v3.0,FILE-HEADER-RECORD-IP,Filler,,Space Filler for File Format,Varchar,,,,,,,,,,,X(1318),,,,,Live Data Transmission,,,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",Derived from TMSIS,,,,CI,Claim Impatient,CIP015,V3,No Change,CIP015,TRUE,Other System,0,N/A,"$SPACE FILL (default)
",
HPMMIS,TMSIS v3.0,CLAIM-HEADER-RECORD-IP,1115A-DEMONSTRATION-IND,1115A Demonstration Indicator,"In the claims files this data element indicates whether the claim or encounter was covered under the authority of an 1115A demonstration. In the Eligibility file, this data element indicates whether the individual participates in an 1115A demonstration.",Num,,,,,,,,,157,157,X(1),,,"1. Value must be 1 character
2. Value must be in [0, 1] or not populated
3. Value must be in 1115A Demonstration Indicator List (VVL)
4. Value must be 1 character
5. Conditional
6. When value equals '0', is invalid or not populated, then the associated 1115A Demonstration Indicator (ELG.018.233) must equal '0', is invalid or not populated","IF DW-COMMON-S.CLM-TYP EQ 'E' :ENCOUNTER           
   SET HDR-CLAIM-REC.CHDR-DEM-IND-1115A  = '1' :YES
ELSE :CLAIM                                        
   SET HDR-CLAIM-REC.CHDR-DEM-IND-1115A  = '0' :NO 
ENDIF                                              ","0, 1 ",,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,DW-COMMON-S,CLM-TYP,Conditional,CI,Claim Impatient,CIP025,V3,No Change,CIP025,TRUE,MMIS,DW-COMMON-S,CLM-TYP,"IF DW-COMMON-S.CLM-TYP EQ 'E' :ENCOUNTER           
   SET HDR-CLAIM-REC.CHDR-DEM-IND-1115A  = '1' :YES
ELSE :CLAIM                                        
   SET HDR-CLAIM-REC.CHDR-DEM-IND-1115A  = '0' :NO 
ENDIF                                              ",TRUE
HPMMIS,TMSIS v3.0,CLAIM-HEADER-RECORD-IP,ADJUDICATION-DATE,Adjudication Date,"The date on which the payment status of the claim was finally adjudicated by the state.  For Encounter Records (Type of Claim = 3, C, W), use date the encounter was processed by the state.",Date,CCYYMMDD,,,,,,,,435,442,9(8),,,"1. Value must be 8 characters in the form ""CCYYMMDD""
2. The date must be a valid calendar date (i.e. Feb 29th only on the leap year,  never April 31st or Sept 31st)
3. Value should be on or before End of Time Period value found in associated T-MSIS File Header Record
4. Mandatory
5. Value should be on or after associated Admission Date value","""9"" FILL (default if date is LE zero)
",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,DW-COMMON-S,STA-EFF-DAT,Mandatory,CI,Claim Impatient,CIP098,V3,No Change,CIP098,TRUE,MMIS,DW-COMMON-S,STA-EFF-DAT,"""9"" FILL (default if date is LE zero)
",TRUE
HPMMIS,TMSIS v3.0,CLAIM-HEADER-RECORD-IP,ICN-ADJ,Adjustment ICN,A unique claim number assigned by the state's payment system that identifies the adjustment claim for an original transaction.,Num,,,,,,,,,72,121,X(50),,,"1. Value must be 50 characters or less
2. Value must not contain a pipe or asterisk symbols
3. If associated Adjustment Indicator value is 0, then value must not be populated
4. Conditional","SELECT FIRST ACTION 
WHEN HDR-CLAIM-REC.CHDR-ADJ-INDC = '0' :ORIGINAL         
  OR HDR-CLAIM-REC.CHDR-ADJ-INDC = '1' :VOID             
     SET HDR-CLAIM-REC.CHDR-ICN-ADJ = '88888888888888888888888888888888888888888888888888'
                                                         
WHEN HDR-CLAIM-REC.CHDR-ADJ-INDC = '4' :ADJUSTMENT       
     SET HDR-CLAIM-REC.CHDR-ICN-ADJ = $STRING(W-PI.CRN-PREFIX, DW-COMMON-S.CLM-NO)            
ENDSELECT ",Live Data Transmission,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,DW-COMMON-S,CLM-NO,Conditional,CI,Claim Impatient,CIP020,V3,No Change,CIP020,TRUE,MMIS,DW-COMMON-S,CLM-NO,"SELECT FIRST ACTION 
WHEN HDR-CLAIM-REC.CHDR-ADJ-INDC = '0' :ORIGINAL         
  OR HDR-CLAIM-REC.CHDR-ADJ-INDC = '1' :VOID             
     SET HDR-CLAIM-REC.CHDR-ICN-ADJ = '88888888888888888888888888888888888888888888888888'
                                                         
WHEN HDR-CLAIM-REC.CHDR-ADJ-INDC = '4' :ADJUSTMENT       
     SET HDR-CLAIM-REC.CHDR-ICN-ADJ = $STRING(W-PI.CRN-PREFIX, DW-COMMON-S.CLM-NO)            
ENDSELECT ",TRUE
HPMMIS,TMSIS v3.0,CLAIM-HEADER-RECORD-IP,ADJUSTMENT-IND,Adjustment Indicator,Indicates the type of adjustment record.,Varchar,,,,,,,,,158,158,X(1),,,"1. Value must be in Adjustment Indicator List (VVL)
2. If associated Type of Claim (CE) value is in [ 1, 3, 5, A, C, E, U, W, Y ], then value must be in [ 0, 1, 4 ]
3. If associated Type of Claim (CE) value is '4, D, X', then value must be in [ 5, 6 ]
4. Value must be 1 character
5. Mandatory","ENC+CLM:

  ""0"" = Original Claim/Encounter (default)
  ""1"" = Void
  ""4"" = Adjustment

  SELECT FIRST ACTION                                                
  WHEN DW-COMMON-S.ADJU-STA = 'V'                                  
       SET HDR-CLAIM-REC.CHDR-ADJ-INDC = '1' :VOID                 
  WHEN DW-COMMON-S.ADJU-STA = 'A'                                  
   AND DW-COMMON-S.PRR-CRN  GT $SPACES                             
       SET HDR-CLAIM-REC.CHDR-ADJ-INDC = '4' :ADJUSTMENT          :
  WHEN OTHER                                                       
       SET HDR-CLAIM-REC.CHDR-ADJ-INDC = '0' :ORIGINAL ENC(DEFAULT)
ENDSELECT                                                          

Note: If DW-COMMON-S.ADJU-STA EQ 'A' and the PRR-CRN field is populated, the CRN represents a replacement for a previously submitted encounter/claim and the PRR-CRN represents the replaced encounter.
","1, 3, 5, A, C, E, U, W, Y",,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,DW-COMMON-S,ADJU-STA,Mandatory,CI,Claim Impatient,CIP026,V3,No Change,CIP026,TRUE,MMIS,DW-COMMON-S,ADJU-STA,"ENC+CLM:

  ""0"" = Original Claim/Encounter (default)
  ""1"" = Void
  ""4"" = Adjustment

  SELECT FIRST ACTION                                                
  WHEN DW-COMMON-S.ADJU-STA = 'V'                                  
       SET HDR-CLAIM-REC.CHDR-ADJ-INDC = '1' :VOID                 
  WHEN DW-COMMON-S.ADJU-STA = 'A'                                  
   AND DW-COMMON-S.PRR-CRN  GT $SPACES                             
       SET HDR-CLAIM-REC.CHDR-ADJ-INDC = '4' :ADJUSTMENT          :
  WHEN OTHER                                                       
       SET HDR-CLAIM-REC.CHDR-ADJ-INDC = '0' :ORIGINAL ENC(DEFAULT)
ENDSELECT                                                          

Note: If DW-COMMON-S.ADJU-STA EQ 'A' and the PRR-CRN field is populated, the CRN represents a replacement for a previously submitted encounter/claim and the PRR-CRN represents the replaced encounter.
",TRUE
HPMMIS,TMSIS v3.0,CLAIM-HEADER-RECORD-IP,ADJUSTMENT-REASON-CODE,Adjustment Reason Code,Claim adjustment reason codes communicate why a claim was paid differently than it was billed.,Num,###,,,,,,,,159,161,X(3),,,"1. Value must be in Adjustment Reason Code List (VVL)
2. Value must be 3 characters or less
3. Conditional
4. Value must be populated when the total paid amount is different from the total billed amount","""8"" FILL (not applicable at header level - see LINE-ADJUSTMENT-REASON-CODE (CIP240)
",CSMO code Value,,N,"TMSIS - 2019 Hawaii Source to Target Mapping Matrix.xlsx (sharepoint.com) , Data Guide from TMSIS Website Data Guide (medicaid.gov) ",MMIS,,,Conditional,CI,Claim Impatient,CIP027,V3,No Change,CIP027,TRUE,MMIS,0,N/A,"""8"" FILL (not applicable at header level - see LINE-ADJUSTMENT-REASON-CODE (CIP240)
",TRUE
