TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
MC,MC239C,int,int,,Occurrence Span End Date - 6,Occurrence Span Code End Date - 6. Report the end date that corresponds to the sixth Occurrence Span Code in CCYYMMDD format.
MC,MC239D,char(2),char,2,Occurrence Span Code - 7,Occurrence Span Code - 7. Report the seventh Occurrence Span Code that defines an occurrence span category of the claim. If not applicable do not report any value here. 
MC,MC239E,int,int,,Occurrence Span Start Date - 7,Occurrence Span Code Start Date - 7. Report the start date that corresponds to the seventh Occurrence Span Code in CCYYMMDD format.
MC,MC239F,int,int,,Occurrence Span End Date - 7,Occurrence Span Code End Date - 7. Report the end date that corresponds to the seventh Occurrence Span Code in CCYYMMDD format.
MC,MC239G,char(2),char,2,Occurrence Span Code - 8,Occurrence Span Code - 8. Report the eighth Occurrence Span Code that defines an occurrence span category of the claim. If not applicable do not report any value here. 
MC,MC239H,int,int,,Occurrence Span Start Date - 8,Occurrence Span Code Start Date - 8. Report the start date that corresponds to the eighth Occurrence Span Code in CCYYMMDD format.
MC,MC239I,int,int,,Occurrence Span End Date - 8,Occurrence Span Code End Date - 8. Report the end date that corresponds to the eighth Occurrence Span Code in CCYYMMDD format.
MC,MC239J,char(2),char,2,Occurrence Span Code - 9,Occurrence Span Code - 9. Report the ninth Occurrence Span Code that defines an occurrence span category of the claim. If not applicable do not report any value here. 
MC,MC239K,int,int,,Occurrence Span Start Date - 9,Occurrence Span Code Start Date - 9. Report the start date that corresponds to the ninth Occurrence Span Code in CCYYMMDD format.
MC,MC239L,int,int,,Occurrence Span End Date - 9,Occurrence Span Code End Date - 9. Report the end date that corresponds to the ninth Occurrence Span Code in CCYYMMDD format.
MC,MC239M,char(2),char,2,Occurrence Span Code - 10,Occurrence Span Code - 10. Report the tenth Occurrence Span Code that defines an occurrence span category of the claim. If not applicable do not report any value here. 
