TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
ME,ME110,varchar(9),varchar,9,Subscriber Zip Code,Subscriber's Zip Code. Report the 5- or 9-digit Zip Code of the Subscriber's residence as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
ME,ME111,varchar(10),varchar,10,Medical Deductible,Member's Maximum Medical Deductible. Report the maximum amount of the Member's deductible that is applied to medical services before certain services are covered. This is the base deductible for general services. Report 0 when there is no deductible for this benefit. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable. EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050.
ME,ME112,varchar(10),varchar,10,Pharmacy Deductible,Member's Maximum Pharmacy Deductible. Report the maximum amount of the Member's deductible that is applied to pharmacy services before certain prescriptions are covered. Report 0 when there is no deductible for this benefit. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable. EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050.
ME,ME113,varchar(10),varchar,10,Medical and Pharmacy Deductible,"Member's Maximum Medical and Pharmacy Deductible. Report the maximum amount of the Member's deductible that is applied to services before certain medical and / or prescriptions are covered. This element should be filled in when the deductible is not strictly based on medical or strictly on pharmacy out of pocket costs, but on the combination of the two. Report 0 when there is no deductible for this combined benefit. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
ME,ME114,varchar(10),varchar,10,Behavioral Health Deductible,"Member's Maximum Behavioral Health Deductible. Report the maximum amount of the Member's deductible that is applied to behavioral health services before certain behavioral health services are covered. Report 0 if there is no deductible. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.
EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
ME,ME115,varchar(10),varchar,10,Dental Deductible,"Member's Maximum Dental Deductible. Report the maximum amount of the Member's deductible that is applied to dental services before certain dental services are covered. Report 0 when there is no deductible for this benefit. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
ME,ME116,varchar(10),varchar,10,Vision Deductible,"Member's Maximum Vision Deductible. Report the maximum amount of the Member's deductible that is applied to vision services before certain vision services are covered. If deductible does not apply when vision benefits are available, submit as zero. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable. EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
ME,ME117,varchar(50),varchar,50,Carrier Specific Unique Subscriber ID,Subscriber's Unique ID. Report the identifier the Reporter uses internally to uniquely identify the Subscriber.
ME,ME118,int,int,,Vision Benefit,"Vision Indicator. Report the value that defines if the Member has Vision coverage. EXAMPLE: 1 = Yes, Vision is a covered benefit.1 - Yes2 - No3 - Unknown"
ME,ME119,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME120,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME121,int,int,,Metal Level,"Metal Level Tier. Report the Metal Level benefits that the member is associated to in this line of eligibility. EXAMPLE: 1 = Bronze Level.
"
ME,ME122,int,int,,Coinsurance Maximum %,"Member's Maximum Coinsurance Percentage. Report the value that defines the maximum coinsurance that the Member is responsible for when covered / approved services are rendered and link to this line of eligibility. EXAMPLE: 1 = 10% Maximum Coinsurance. If Maximum Coinsurance falls between two categories, then report it under the higher category. (e.g., 15% should be reported as 2 = 20%.)."
ME,ME123,varchar(10),varchar,10,Monthly Premium,Expected Monthly Premium. Report the amount the Subscriber is responsible for on a monthly basis to maintain this line of eligibility. Report 0 only when the subscriber is contractually free of this obligation. Repeat the Subscriber’s premium on the Member’s record. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable. EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050.
ME,ME124,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME125,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME126,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME127,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME128,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME129,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME130,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME131,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME132,varchar(10),varchar,10,Total Monthly Premium,"Total Monthly Premium. Report the total Employer + Subscriber's total contribution to the monthly premium. Report 0 if no premium is charged. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
ME,ME133,char(15),char,15,EUTF HB Number,EUTF HB Member Number. Report the EUTF HB Member Identification number as provided to Reporters. All numbers should start with HB and end with 7-digits. If not applicable do not report any value here.
ME,ME134,int,int,,APCD ID Code,Member Enrollment Type. Report the value that describes the member's / subscriber's enrollment into one of the predefined categories; aligns enrollment to appropriate editing and thresholds. EXAMPLE: 3 = EUTF Enrollee.
ME,ME135,int,int,,Bargaining Unit,"Bargaining Unit of State and County Employees. Report the bargaining unit of all State and County employees or retirees whose health plan is under EUTF. EXAMPLE: 11 = Firefighters.
"
ME,ME899,char(2),char,2,Record Type,File Type Identifier. Report ME here. This validates the type of file and the data contained within the file. This must match HD004.
ME,ME999,bigint,bigint,,File ID,HHDC assigned ID of the file submitted by the payer.
PC,PC000,varchar(64),varchar,64,HHDC Beneficiary ID,Beneficiary ID defined and maintained by HHDC
PC,PC000A,varchar(64),varchar,64,HHDC Beneficiary Hash ID,Hash of all of the data elements used for member matching
PC,PC001,char(6),char,6,Submitter,Submitter ID. Report the SHPDA defined and maintained unique identifier. This must match the Submitter ID reported in HD002.
PC,PC002,int,int,,Health Plan ID,"CMS Health Plan ID (HPID). Do not report any value here until HPID is fully implemented. This is a unique identifier as outlined by the Centers for Medicare and Medicaid Services (CMS) for Plans or Sub plans. When implemented, this must match the CMS Health Plan ID reported in HD003."
PC,PC003,char(2),char,2,Insurance Type Code / Product,"Insurance Type / Product Identification Code. Report the code that defines the type of insurance under which this Member's claim line was processed.
EXAMPLE: HM = Health Maintenance Organization."
PC,PC004,varchar(35),varchar,35,Payer Claim Control Number,Payer Claim Control Number. Report the unique identifier used internally by the Reporter to track the claim. This number must apply to the entire claim.
PC,PC005,varchar(4),varchar,4,Line Counter,Service Line Number. Report the line number for this service within the claim. The Line Counter begins with 1 and is incremented by 1 for each additional service line of a claim. Do not start with 0 or include alphas or special characters.
PC,PC005A,varchar(4),varchar,4,Version Number,Line Version Number. Report the version number of this claim service line. The version number begins with 0 and is incremented by 1 for each subsequent version of that service line.
PC,PC006,varchar(30),varchar,30,Insured Group or Policy Number,Insured Group / Policy Number. Report the insured group or policy number. Do not report the number that uniquely identifies the Subscriber or Member.
PC,PC007,int,int,,Subscriber SSN,Subscriber's Social Security Number. Report the Subscriber's 9-digit SSN here. Do not use hyphen.
PC,PC008,varchar(30),varchar,30,Plan Specific Contract Number,Plan Specific Contract Number. Report the Reporter-assigned contract number for the Subscriber. Do not include values in this element that will distinguish one Member of the family from another. This should be the contract number for the Subscriber and all of the dependents.
PC,PC009,varchar(20),varchar,20,Member Suffix or Sequence Number,Member's Sequence Number. Report the unique number of the Member within the contract.
PC,PC010,int,int,,Member SSN,Member's Social Security Number. Report the Member's 9-digit SSN. Do not use hyphen.
PC,PC011,char(2),char,2,Individual Relationship Code,Individual Relationship Code. Report the value that defines the Member's relationship to the Subscriber. EXAMPLE: 18 = Self.
PC,PC012,char(1),char,1,Member Gender,"Member's Gender. Report the Member's gender as found on the claim in alpha format.
EXAMPLE: F = Female."
PC,PC013,int,int,,Member Date of Birth,Member's Date of Birth. Report the date of birth of the Member in CCYYMMDD format.
PC,PC014,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
PC,PC015,char(2),char,2,Member State,Member's State / Province. Report the State of the Member's residence using the two-character abbreviation as defined by the United States Postal Service. 
PC,PC016,varchar(9),varchar,9,Member Zip Code,Member's Zip Code. Report the 5- or 9-digit Zip Code of the Member's residence as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
PC,PC017,int,int,,Date Service Approved (AP Date),"Date Service Approved by Payer. Report the date that the payer approved this claim line for payment in CCYYMMDD format. This element was designed to capture date other than the Paid date. If Approved Date and Paid Date are the same, then the date here should match Paid Date reported in PC063."
PC,PC018,varchar(30),varchar,30,Pharmacy Number,Pharmacy's Identification Number. Report either the NCPDP or NABP number of the dispensing pharmacy. 
PC,PC019,int,int,,Pharmacy Tax ID Number,Pharmacy EIN / Federal Tax ID Number. Report the EIN / Federal Tax ID of the pharmacy. Do not use hyphen or alpha prefix.
PC,PC020,varchar(100),varchar,100,Pharmacy Name,Name of Pharmacy. Report the name of the pharmacy.
PC,PC021,int,int,,Pharmacy NPI,Pharmacy's National Provider Identifier. Report the National Provider Identifier (NPI) of the pharmacy. 
PC,PC022,varchar(30),varchar,30,Pharmacy Location City,Pharmacy's City Name. Report the city name of pharmacy's location.
PC,PC023,char(2),char,2,Pharmacy Location State,Pharmacy's State / Province. Report the State where the dispensing pharmacy is located using the two-character abbreviation as defined by the United States Postal Service. 
PC,PC024,varchar(9),varchar,9,Pharmacy Location Zip Code,Pharmacy's Zip Code. Report the 5- or 9-digit Zip Code as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
PC,PC024A,char(3),char,3,Pharmacy Location Country Code,"Pharmacy's Country Code. Report the three-character country code as defined by ISO 3166-1, Alpha 3. "
PC,PC025,int,int,,Claim Status,"Claim Line Status Code. Report the Claim Status Code that defines the payment status of this claim line.
EXAMPLE: 01 = Processed as primary."
PC,PC026,char(11),char,11,Drug Code,National Drug Code (NDC). Report the NDC Code as defined by the FDA in 11-digit format (5-4-2) without hyphenation. 
PC,PC027,varchar(80),varchar,80,Drug Name,Name of the Drug as Supplied. Report the name of the drug that aligns to the National Drug Code. Do not report generic names with brand name National Drug Codes. 
PC,PC028,int,int,,New Prescription or Refill,Prescription Status Indicator. Report the status of prescription by numeric value.
PC,PC029,int,int,,Generic Drug Indicator,"Generic Drug Indicator. Report if the drug dispensed is generic.
EXAMPLE: 1 = Yes, the drug reported is a generic."
PC,PC030,int,int,,Dispense as Written Code,"Dispense As Written (DAW) / Product Selection Code. Report the value that defines how the drug was dispensed.
EXAMPLE: 0 = Not dispensed as written."
PC,PC031,int,int,,Compound Drug Indicator,"Compound Drug Indicator. Report if the drug dispensed is a compound drug.
EXAMPLE: 1 = Yes, drug is a compound."
PC,PC032,int,int,,Date Prescription Filled,Prescription Filled Date. Report the date the pharmacy filled AND dispensed prescription to the Member in CCYYMMDD Format.
PC,PC033,varchar(20),varchar,20,Quantity Dispensed,Claim Line Units Dispensed. Report the number of metric units of medication dispensed. Decimal allowed in this field.
PC,PC034,varchar(4),varchar,4,Days Supply,Prescription Days Supply. Report the number of days the prescription will last if taken as prescribed.
PC,PC035,varchar(10),varchar,10,Charge Amount,"Total Charges for the Claim Line. Report the total amount the provider / dispensing facility billed the insurance carrier for this claim line service. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC036,varchar(10),varchar,10,Paid Amount,"Total Paid for the Claim Line. Report the total amount paid for the claim line. Report 0 if line is paid as part of another procedure / claim line. Do not report any value if the line is denied. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC037,varchar(10),varchar,10,Ingredient Cost / List Price,"Ingredient Cost Paid. Report the amount of the List Price or Ingredient Cost. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC038,varchar(10),varchar,10,Postage Amount Claimed,"Postage Amount. Report the amount of postage for this claim line. Report 0 if postage does not apply. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC039,varchar(10),varchar,10,Dispensing Fee,"Dispensing Fee Amount. Report the amount of the dispensing fee. Report 0 if fee does not apply. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC040,varchar(10),varchar,10,Copay Amount,"Member Copay Amount. Report the Copay amount that the Member is responsible to pay. Copay is a preset, fixed amount for this claim line service that the Member is responsible to pay. Report 0 if no Copay applies. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC041,varchar(10),varchar,10,Coinsurance Amount,"Member Coinsurance Amount. Report the Coinsurance amount that the Member is responsible to pay. Coinsurance is a calculated percentage amount for this claim line service that the Member is responsible to pay. Report 0 if no Coinsurance applies. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC042,varchar(10),varchar,10,Deductible Amount,"Member Deductible Amount. Report the Deductible amount that the Member is responsible to pay. Deductible is a preset, fixed amount for this claim line service that the Member is responsible to pay. Report 0 if no Deductible applies to service. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC043,varchar(30),varchar,30,Prescribing Provider ID,Prescribing Provider Identification Number. Report the Reporter-assigned identification number of the Prescribing Provider.
PC,PC044,varchar(25),varchar,25,Prescribing Provider First Name,"Prescribing Provider's First Name. Report the Prescribing Provider's first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC045,varchar(25),varchar,25,Prescribing Provider Middle Name,"Prescribing Provider's Middle Name or Initial. Report the Prescribing Provider's middle name or initial here. If Prescribing Provider's middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC046,varchar(60),varchar,60,Prescribing Provider Last Name,"Prescribing Provider's Last Name. Report the Prescribing Provider's last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC047,char(20),char,20,Prescribing Provider DEA Number,Prescribing Provider's DEA Number. Report the DEA number of the Prescribing Provider.
PC,PC048,int,int,,Prescribing Provider NPI,"Prescribing Provider's National Provider Identifier. Report the National Provider Identifier (NPI) of the Prescribing Provider. This element is looking to capture the NPI of an individual provider, not a group. "
PC,PC049,varchar(30),varchar,30,Prescribing Provider Plan Number,Prescribing Provider's Plan Identification Number. Report the Prescribing Provider's Reporter-assigned Plan Number.
PC,PC050,varchar(30),varchar,30,Prescribing Provider License Number,"Prescribing Provider's License Number. Report the state license number for the Prescribing Provider identified in PC043. For a doctor, this is the medical license, for a non-doctor this is the practice license. Do not zero-fill. If not available, or not applicable, such as for a group or corporate entity, do not report any value here."
PC,PC050A,char(2),char,2,Prescribing Provider License Number State,Prescribing Provider's License State / Province. Report the State that issued the Prescribing Provider's license using the two-character abbreviation as defined by the United States Postal Service. 
PC,PC051,varchar(60),varchar,60,Prescribing Provider Street Address,Prescribing Provider's Street Address. Report the Prescribing Provider's street address.
PC,PC052,varchar(60),varchar,60,Prescribing Provider Street Address 2,"Prescribing Provider's Street Address 2. Report the Prescribing Provider's street address that may contain office number, suite, or other secondary information besides the street."
PC,PC053,varchar(30),varchar,30,Prescribing Provider City Name,Prescribing Provider's City Name. Report the Prescribing Provider's city name.
PC,PC054,char(15),char,15,Prescribing Provider State,Prescribing Provider's State / Province. Report the State of the Prescribing Provider using the two-character abbreviation as defined by the United States Postal Service. 
PC,PC055,varchar(9),varchar,9,Prescribing Provider Zip Code,Prescribing Provider's Zip Code. Report the 5- or 9-digit Zip Code of the Prescribing Provider as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
PC,PC056,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
PC,PC057,int,int,,Mail Order Pharmacy,"Mail Order Option Indicator. Report if the pharmacy is a mail order pharmacy.
EXAMPLE: 1 = Yes, pharmacy is a mail order pharmacy."
PC,PC058,varchar(20),varchar,20,Script Number,Prescription Number. Report the unique prescription number.
PC,PC059,int,int,,Member PCP NPI,Member's PCP National Provider Identifier. Report the National Provider Identifier (NPI) of the Member's PCP. 
PC,PC060,int,int,,Single / Multiple Source Indicator,"Drug Source Indicator. Report the value that defines the availability of the pharmaceutical.
EXAMPLE: 1 = Multi-source brand."
PC,PC061,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
PC,PC062,int,int,,Billing Provider Tax ID Number,Billing Provider's EIN / Federal Tax ID Number. Report the EIN / Federal Tax ID of the Billing Provider. Do not use hyphen or alpha prefix.
PC,PC063,int,int,,Paid Date,Paid Date of the Claim Line. Report the date that appears on the check and/or remit and/or explanation of benefits and corresponds to any and all types of payment in CCYYMMDD format. This can be the same date as AP Date (PC017).
PC,PC064,int,int,,Date Prescription Written,Date of Prescription. Report the date that was written on the prescription or called-in by the Prescribing Provider's office in CCYYMMDD format.
PC,PC065,varchar(10),varchar,10,Coordination of Benefits / TPL Liability Amount,"Secondary Carrier Amount Due. Report the amount that another carrier / insurer is liable for after Reporter has processed this claim line. Report 0 if there is no COB / TPL amount. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC066,varchar(10),varchar,10,Other Insurance Paid Amount,"Primary / Prior Carrier Paid Amount. Report the amount that a prior payer has paid for this claim line. Indicates the Reporter is 'secondary' to the prior payer. Only report 0 if the Prior Payer paid 0 towards this claim line, else do not report any value here. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC067,varchar(10),varchar,10,Medicare Paid Amount,"Medicare Paid Amount. Report the amount Medicare paid towards this claim line. Only report 0 here if Medicare paid 0. If Medicare did not pay towards this claim line do not report any value here. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC068,varchar(10),varchar,10,Allowed Amount,"Allowed Amount. Report the maximum amount contractually allowed, and that a carrier will pay to a provider for a particular procedure or service. This will vary by provider contract and most often it is less than or equal to the fee charged by the provider. Report 0 when the claim line is denied. Do not code decimal or round up / down to whole dollars, code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC069,varchar(10),varchar,10,Member Total Out of Pocket Amount,"Total Member Out of Pocket Amount. Report the total amount the Member is responsible to pay to the provider as part of their costs for services. This is the sum of copay, coinsurance, deductible, and other charges the Member is responsible for. Report 0 if there are no out of pocket expenses. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC070,int,int,,Rebate Indicator,"Drug Rebate Eligibility Indicator. Report the value that defines the drug rebate status.
EXAMPLE: 1 = Yes, drug is eligible for a rebate to any entity."
PC,PC071,varchar(10),varchar,10,State Sales Tax,"State Sales Tax. Report the amount of state sales tax applied to this claim line. Report 0 if state sales tax does not apply. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
PC,PC072,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
PC,PC073,int,int,,Formulary Code,"Formulary Inclusion Identifier. Report the value that defines the formulary code status.
EXAMPLE: 1 = Yes, drug is on the formulary."
PC,PC074,int,int,,Route of Administration,"Route of Administration. Report pharmaceutical Route of Administration indicator that defines method of drug administration.
EXAMPLE: 11 = Oral."
PC,PC075,varchar(3),varchar,3,Drug Unit of Measure,"Units of Measure. Report the value that defines the unit of measure for drug dispensed.
EXAMPLE: EA = Each."
PC,PC101,varchar(60),varchar,60,Subscriber Last Name,"Subscriber’s Last Name. Report the Subscriber’s last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC102,varchar(35),varchar,35,Subscriber First Name,"Subscriber’s First Name. Report the Subscriber’s first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC103,varchar(25),varchar,25,Subscriber Middle Name,"Subscriber’s Middle Name or Initial. Report the Subscriber’s middle name or initial. If Subscriber’s middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC104,varchar(60),varchar,60,Member Last Name,"Member’s Last Name. Report the Member’s last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC105,varchar(25),varchar,25,Member First Name,"Member’s First Name. Report the Member’s first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC106,varchar(25),varchar,25,Member Middle Name,"Member’s Middle Name or Initial. Report the Member’s middle name or initial. If Member’s middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
PC,PC107,varchar(50),varchar,50,Carrier Specific Unique Member ID,Member's Unique ID. Report the identifier the Reporter uses internally to uniquely identify the Member.
PC,PC108,varchar(50),varchar,50,Carrier Specific Unique Subscriber ID,Subscriber's Unique ID. Report the identifier the Reporter uses internally to uniquely identify the Subscriber.
PC,PC109,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
PC,PC110,char(1),char,1,Claim Line Type,"Claim Line Type Code. Report the Claim Line Type Code that defines the claim line status in terms of adjudication.
EXAMPLE: O = Original."
PC,PC111,varchar(35),varchar,35,Former Claim Number,"Previous Claim Number. Report the Claim Control Number (PC004) that was originally sent in a prior filing that this line corresponds to. When reported, this data cannot equal its own PC004."
PC,PC112,int,int,,Medicare Indicator,"Indicator - Medicare Payment Applied. Report the value that defines if Medicare paid for this claim line.

EXAMPLE: 1 = Yes, Medicare paid for part or all of services.

1 - Yes
2 - No
3 - Unknown
4 - Other"
PC,PC113,int,int,,Pregnancy Indicator,Indicator - Pregnancy is applied. Report the value for pregnancy
PC,PC114,varchar(7),varchar,7,Medicare Indicator,"Indicator - Medicare Payment Applied. Report the value that defines if Medicare paid for this claim line.
EXAMPLE: 1 = Yes, Medicare paid for part or all of services."
PC,PC115,int,int,,Medicare Indicator,Indicator - Medicare Payment Applied. Report the value that defines if Medicare paid for this claim line.
PC,PC116,int,int,,Denied Flag,"Denied Claim Line Indicator. Report the denial status of the claim line.
EXAMPLE: 1 = Yes, Claim Line was denied."
PC,PC117,varchar(30),varchar,30,Denial Reason,"Denial Reason Code. Report the code that defines the reason for denial of the claim line. Either report the Claim Adjustment Reason Code or Carrier-defined Denial Reason Code. If Carrier-defined Reason Code is submitted, Carrier must submit all Denial Reason Codes in separate table to SHPDA. "
PC,PC118,int,int,,Payment Arrangement Type,"Payment Arrangement Type. Report the value that defines the contracted payment methodology for this claim line.
EXAMPLE: 02 = Fee for Service."
PC,PC119,char(9),char,9,EUTF HB Number, 
PC,PC120,int,int,,APCD ID Code,"Member Enrollment Type. Report the value that describes the member's / subscriber's enrollment into one of the predefined categories; aligns enrollment to appropriate editing and thresholds.
EXAMPLE: 3 = EUTF Enrollee."
PC,PC121,int,int,,Claim Line Paid Flag,"Claim Line Paid Indicator. Report the paid status of the claim line.
EXAMPLE: 1 = Yes, Claim Line was paid."
PC,PC122,varchar(20),varchar,20,Medicaid ID,Medicaid-Assigned Member ID. Report the unique ID that Medicaid uses to identify a member. This ID must be on all lines of eligibility for Med-QUEST and Medicaid MCOs. This element is required for Med-QUEST carriers only. Non-Med-QUEST carriers should not report any value here.
PC,PC899,char(2),char,2,Record Type,File Type Identifier. Report PC here. This validates the type of file and the data contained within the file. This must match HD004.
PC,PC999,bigint,bigint,,File ID,HHDC assigned ID of the file submitted by the payer.
PV,PV001,char(6),char,6,Submitter,Submitter ID.  Report the SHPDA defined and maintained unique identifier.  This must match the Submitter ID reported in HD002.
PV,PV002,varchar(30),varchar,30,Provider ID,"Provider's Identification Number.  Report the Reporter assigned, unique Provider identification number used internally by the Reporter for every Service Provider (persons, facilities or other entities involved in claims transactions) that it has in its system(s).  This element may or may not contain the provider NPI."
PV,PV003,int,int,,Tax ID,Provider's EIN / Federal Tax ID Number.  Report the EIN/Federal Tax ID of the Provider.  Do not use hyphen or alpha prefix.
PV,PV004,char(6),char,6,UPIN ID,"Provider's UPIN Number.  Report the UPIN for the Provider identified in PV002.  To report other Medicare Identifiers, use PV036."
PV,PV005,char(25),char,25,DEA ID,"Provider's DEA Number.  Report the DEA number of the individual provider, group, or facility defined by PV002.  If not available or applicable, do not report any value here."
PV,PV006,varchar(25),varchar,25,License ID,"Provider's License Number.  Report the state license number for the provider identified in PV002. For a doctor, this is the medical license for a non-doctor this is the practice license.  Do not use zero-fill.  If not available, or not applicable, such as for a group or corporate entity, do not report any value here.  "
PV,PV006A,char(2),char,2,License ID State,Provider's License State / Province.  Report the State that issued the Provider's license using the two-character abbreviation as defined by the United States Postal Service.  See External Code Source.
PV,PV007,varchar(30),varchar,30,Medicaid ID,"Provider's Med-QUEST-assigned Number.  Report the Medicaid number for the provider identified in PV002.  Do not use zero-fill.  Do not report any value if not available, or not applicable, such as for a group or corporate entity. "
PV,PV008,varchar(70),varchar,70,Provider Last Name,"Provider's Last Name.  Report the Provider's last name.  Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case.  Name should be contracted where punctuation is removed, do not report spaces.  Do not report any value here for facility or non-individual provider records.  Report non-person entities in PV012 Entity Name."
PV,PV009,varchar(25),varchar,25,Provider First Name,"Provider's First Name.  Report the Provider's first name.   First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case.  Name should be contracted where punctuation is removed, do not report spaces.  Do not report any value here for facility or non-individual provider records.  Report non-person entities in PV012 Facility Name."
PV,PV010,varchar(25),varchar,25,Provider Middle Initial,"Provider's Middle Name or Initial.  Report the Provider's middle name or initial.  If Provider's middle name is available, report middle name.  Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case.  Name should be contracted where punctuation is removed, do not report spaces.  Do not report any value here for facility or non-individual provider records.  Report non-person entities in PV012 Facility Name."
