Source,Source File,Table Name,Column,,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
CMS_MMA,Response File,DET_PRO_LIS,Beneficiary_Mbi_Occurrence_5,,Beneficiarys_Mbi_Occurrence_5 & Beneficiarys_Mbi_Effective_Date_Occurrence_5 & Beneficiarys_Mbi_Effective_Reason_Code_Occurrence_5 & Beneficiarys_Mbi_End_Date_Occurrence_5 & Beneficiarys_Mbi_End_Reason_Code_Occurrence_4,CHAR,,,,,,,,Y,3648,3684,37,,,,Live Data Transmission,320,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Beneficiary_Mbi_Occurrence_6,,Beneficiarys_Mbi_Occurrence_6 & Beneficiarys_Mbi_Effective_Date_Occurrence_6 & Beneficiarys_Mbi_Effective_Reason_Code_Occurrence_6 & Beneficiarys_Mbi_End_Date_Occurrence_6 & Beneficiarys_Mbi_End_Reason_Code_Occurrence_5,CHAR,,,,,,,,Y,3685,3721,37,,,,Live Data Transmission,321,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_1,,CARA Status Start Date (1),NUM,MMDDCCYY,,,,,,,Y,3722,3729,8,,,,Live Data Transmission,322,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_1,,CARA Status End Date (1),NUM,MMDDCCYY,,,,,,,Y,3730,3737,8,,,,Live Data Transmission,323,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_2,,CARA Status Start Date (2),NUM,MMDDCCYY,,,,,,,Y,3738,3745,8,,,,Live Data Transmission,324,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_2,,CARA Status End Date (2),NUM,MMDDCCYY,,,,,,,Y,3746,3753,8,,,,Live Data Transmission,325,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_3,,CARA Status Start Date (3),NUM,MMDDCCYY,,,,,,,Y,3754,3761,8,,,,Live Data Transmission,326,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_3,,CARA Status End Date (3),NUM,MMDDCCYY,,,,,,,Y,3762,3769,8,,,,Live Data Transmission,327,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_Start_Date_4,,CARA Status Start Date (4),NUM,MMDDCCYY,,,,,,,Y,3770,3777,8,,,,Live Data Transmission,328,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,DET_PRO_LIS,Cara_Status_End_Date_4,,CARA Status End Date (4),NUM,MMDDCCYY,,,,,,,Y,3778,3785,8,,,,Live Data Transmission,329,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
